score_id	set_id	difficulty	tags
6403758	5104057	2	art-song,british,classical,late-romantic,lullaby,romantic,song-cycle,piano
6404150	5104057	3	art-song,british,classical,late-romantic,love,romantic,song-cycle,travel,piano
6404394	5104057	2	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6405467	5104057	2	art-song,british,classical,late-romantic,romantic,seasons,song-cycle,piano
6405594	5104057	1	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6407509	5104057	3	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6409323	5104057	1	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6412767	5104057	2	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6416048	5104057	3	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6414608	5104057	3	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6416290	5104057	2	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6302395	5104578	3	art-song,classical,german,romantic,song-cycle,piano
6320420	5104578	1	art-song,classical,german,lullaby,romantic,song-cycle,piano
5084888	5071658	2	art-song,classical,german,romantic,song-cycle,piano
5071668	5071658	1	art-song,classical,german,romantic,song-cycle,piano
5071654	5071658	2	art-song,classical,german,romantic,song-cycle,piano
5084966	5071658	2	art-song,birds,classical,german,romantic,song-cycle,piano
6686592	5107949	2	art-song,classical,german,romantic,song-cycle,piano
6686901	5107949	1	art-song,classical,german,romantic,song-cycle,piano
6686980	5107949	2	art-song,classical,german,mourning,romantic,song-cycle,piano
6687153	5107949	2	art-song,classical,german,romantic,song-cycle,piano
5153813	5067679	2	art-song,classical,german,love,romantic,song-cycle,piano
5153947	5067679	2	art-song,classical,german,romantic,song-cycle,piano
5067677	5067679	1	art-song,classical,german,romantic,song-cycle,piano
5067672	5067679	1	art-song,classical,german,romantic,song-cycle,piano
5656522	5032882	2	art-song,classical,german,romantic,song-cycle,piano
4946175	5032882	2	art-song,classical,german,romantic,song-cycle,piano
5654342	5032882	1	art-song,classical,german,romantic,song-cycle,piano
5659823	5032882	2	art-song,classical,german,romantic,song-cycle,piano
5071644	5032882	1	art-song,classical,german,romantic,song-cycle,piano
5700433	5096872	3	art-song,classical,german,romantic,song-cycle,piano
5667944	5096872	2	art-song,classical,german,romantic,song-cycle,piano
5098713	5096872	3	art-song,classical,german,romantic,song-cycle,piano
5701612	5096872	1	art-song,classical,german,lullaby,romantic,song-cycle,piano
4978492	5096872	3	art-song,classical,german,romantic,song-cycle,piano
5069022	5069034	1	art-song,classical,german,love,romantic,song-cycle,piano
5069028	5069034	1	art-song,classical,german,romantic,song-cycle,piano
5069033	5069034	1	art-song,classical,german,romantic,song-cycle,piano
5654485	5069034	1	art-song,classical,german,romantic,song-cycle,piano
5667745	5069034	3	art-song,classical,german,romantic,song-cycle,piano
5667843	4910391	3	art-song,classical,german,romantic,song-cycle,piano
